scenario_id,duration,shape,spread,weights,activation,delay,memory,rep
474,8,block,8,equal,subset,heterogeneous,0.0,2
475,8,block,8,equal,subset,heterogeneous,0.0,3
476,8,block,8,equal,subset,heterogeneous,2.0,0
477,8,block,8,equal,subset,heterogeneous,2.0,1
478,8,block,8,equal,subset,heterogeneous,2.0,2
479,8,block,8,equal,subset,heterogeneous,2.0,3
480,8,block,8,random,all,unit,0.0,0
481,8,block,8,random,all,unit,0.0,1
482,8,block,8,random,all,unit,0.0,2
483,8,block,8,random,all,unit,0.0,3
484,8,block,8,random,all,unit,2.0,0
485,8,block,8,random,all,unit,2.0,1
486,8,block,8,random,all,unit,2.0,2
487,8,block,8,random,all,unit,2.0,3
488,8,block,8,random,all,heterogeneous,0.0,0
489,8,block,8,random,all,heterogeneous,0.0,1
490,8,block,8,random,all,heterogeneous,0.0,2
491,8,block,8,random,all,heterogeneous,0.0,3
492,8,block,8,random,all,heterogeneous,2.0,0
493,8,block,8,random,all,heterogeneous,2.0,1
494,8,block,8,random,all,heterogeneous,2.0,2
495,8,block,8,random,all,heterogeneous,2.0,3
496,8,block,8,random,subset,unit,0.0,0
497,8,block,8,random,subset,unit,0.0,1
498,8,block,8,random,subset,unit,0.0,2
499,8,block,8,random,subset,unit,0.0,3
500,8,block,8,random,subset,unit,2.0,0
501,8,block,8,random,subset,unit,2.0,1
502,8,block,8,random,subset,unit,2.0,2
503,8,block,8,random,subset,unit,2.0,3
504,8,block,8,random,subset,heterogeneous,0.0,0
505,8,block,8,random,subset,heterogeneous,0.0,1
506,8,block,8,random,subset,heterogeneous,0.0,2
507,8,block,8,random,subset,heterogeneous,0.0,3
508,8,block,8,random,subset,heterogeneous,2.0,0
509,8,block,8,random,subset,heterogeneous,2.0,1
510,8,block,8,random,subset,heterogeneous,2.0,2
511,8,block,8,random,subset,heterogeneous,2.0,3
512,8,block,24,equal,all,unit,0.0,0
513,8,block,24,equal,all,unit,0.0,1
514,8,block,24,equal,all,unit,0.0,2
515,8,block,24,equal,all,unit,0.0,3
516,8,block,24,equal,all,unit,2.0,0
517,8,block,24,equal,all,unit,2.0,1
518,8,block,24,equal,all,unit,2.0,2
519,8,block,24,equal,all,unit,2.0,3
520,8,block,24,equal,all,heterogeneous,0.0,0
521,8,block,24,equal,all,heterogeneous,0.0,1
522,8,block,24,equal,all,heterogeneous,0.0,2
523,8,block,24,equal,all,heterogeneous,0.0,3
524,8,block,24,equal,all,heterogeneous,2.0,0
525,8,block,24,equal,all,heterogeneous,2.0,1
526,8,block,24,equal,all,heterogeneous,2.0,2
527,8,block,24,equal,all,heterogeneous,2.0,3
528,8,block,24,equal,subset,unit,0.0,0
529,8,block,24,equal,subset,unit,0.0,1
530,8,block,24,equal,subset,unit,0.0,2
531,8,block,24,equal,subset,unit,0.0,3
532,8,block,24,equal,subset,unit,2.0,0
533,8,block,24,equal,subset,unit,2.0,1
534,8,block,24,equal,subset,unit,2.0,2
535,8,block,24,equal,subset,unit,2.0,3
536,8,block,24,equal,subset,heterogeneous,0.0,0
537,8,block,24,equal,subset,heterogeneous,0.0,1
538,8,block,24,equal,subset,heterogeneous,0.0,2
539,8,block,24,equal,subset,heterogeneous,0.0,3
540,8,block,24,equal,subset,heterogeneous,2.0,0
541,8,block,24,equal,subset,heterogeneous,2.0,1
542,8,block,24,equal,subset,heterogeneous,2.0,2
543,8,block,24,equal,subset,heterogeneous,2.0,3
544,8,block,24,random,all,unit,0.0,0
545,8,block,24,random,all,unit,0.0,1
546,8,block,24,random,all,unit,0.0,2
547,8,block,24,random,all,unit,0.0,3
548,8,block,24,random,all,unit,2.0,0
549,8,block,24,random,all,unit,2.0,1
550,8,block,24,random,all,unit,2.0,2
551,8,block,24,random,all,unit,2.0,3
552,8,block,24,random,all,heterogeneous,0.0,0
553,8,block,24,random,all,heterogeneous,0.0,1
554,8,block,24,random,all,heterogeneous,0.0,2
555,8,block,24,random,all,heterogeneous,0.0,3
556,8,block,24,random,all,heterogeneous,2.0,0
557,8,block,24,random,all,heterogeneous,2.0,1
